"id","name","sponsor","event","venue","place","physical_description","occasion","notes","call_number","date","location","currency","currency_symbol","status","page_count","dish_count"
24838,"","TAMPA BAY HOTEL","LUNCHEON","COMMERCIAL","TAMPAFLA","BROADSIDE; COL; 4.5 X 7;","","","1901-231","1901-02-01","TAMPA BAY HOTEL","","","COMPLETE",2,45
24839,"","PRINCETON ALUMNI ASSOCIATION OF MARYLAND","TWENTYFIRST ANNUAL DINNER","EDUC","ARUNELLCLUB HALL 2 W EAGER ST MARYLAND","FOLDER; COL; 4.5 X 7.25;","ANNIVERSARY","COCKTAILS, AND WINES WITH EACH COURSE; PRINCETON SEAL;","1907-237","1907-02-18","PRINCETON ALUMNI ASSOCIATION OF MARYLAND","","","COMPLETE",4,28
24841,"","HAMBURG-AMERIKA LINIE","DINNER","COMMERCIAL","SS FURST BISMARCK","FOLDER;ILL;COL;4.5X7;","DAILY","MUSICAL PROGRAM;CHURCH TOWER BACKGROUND,SHIP ON SEA,COMPANY EMBLEM ON FRONT COVER;MUSICIAN WITH INSTRUMENT ON BACK COVER;SEPARATE ENGLISH AND GERMAN MENUS LISTED;","1899-824","1899-12-12","HAMBURG AMERIKA LINIE","","","COMPLETE",4,32
24842,"","BROADWAY CENTRAL HOTEL","LUNCHEON","COMMERCIAL","NEW YOK NY","FOLDER; ILLUS; 6.25X9.25;","OTHER DAILY MENU","GENTLEMEN'S CAFE; ""AMERICAN PLAN, WITH ROOM, FOR FULL DAY'S BOARD, 50C, PER MEAL, $1.50 PER DAY, SINGLE MEALS, 75C;"" ILLUSTRATION OF HOTEL ON COVER;","1900-170","1900-01-11","BROADWAY CENTRAL HOTEL","DOLLARS","$","COMPLETE",3,189
24843,"","ASSOCIATED BANKERS OF ALBUQUERQUE","BANQUET","COMMERCIAL","ALBUQUERQUE NM","FOLDER; ILLUSTRED; COL; 5X6.75;","COMPLIMENTARYTESTIMONIAL","LISTS WINES SERVED WITH INDIVIDUAL COURSES; TOASTS (FOLLOWED BY LITERARY QUOTATIONS); COMMITTEES LISTED; DECORATIVE BORDER;","1906-182","1906-02-16","ASSOCIATED BANKERS OF ALBUQUERQUE","","","COMPLETE",4,23
24844,"","KING EDWARD VII","DINNER","GOVT","SANDRINGHAM ENGLAND","CARD; 4 X 6;","RITE","MENU IN FRENCH; EVENT HNDWRITTEN ON BACK;","1905-813","1905-11-09","KING EDWARD VII","","","COMPLETE",2,17
24845,"","NEW YORK BRANCH LEAGUE","BANQUET","COMMERCIAL","METROPOLITAN HOTEL NEW YORK NY","BOOKLET; ILLUS; COL; 5.5X7;","COMPLIMENTARYTESTIMONIAL","INCLUDES WINES SERVED WITH EACH COURSE; FLORAL MOTIF & GOLD SEAL ON COVER; SILK RIBBON ATTACHMENT; INCLUDES NAMES OF LEAGUE OFFICERS, ARRANGEMENT COMMITTEE & MEMBERSHIP","1895-006","1895-01-10","NEW YORK BRANCH LEAGUE","","","COMPLETE",8,30
24846,"","HAMBURG-AMERIKA LINIE","DINNER","COMMERCIAL","SS GRAF WALDERSEE","FOLDER; 4.5X7.0; ILLUS; COL;","","COVER ILLUS MEN PLAYING SHUFFLEBOARD; CONCERT PROGRAM ON REAR COVER;","1900-616","1900-01-31","HAMBURG AMERIKA LINIE","","","COMPLETE",4,18
24847,"","ASSOCIATION OF AMERICAN PHYSICIANS","DINNER","PROF","THE NEW WILLARD WASHINGTON DC","CARD; 4.25 X 6.25;","ANNIVERSARY ","WINES;","1906-464","1906-05-15","ASSOCIATION OF AMERICAN PHYSICIANS","","","COMPLETE",2,24
24848,"","ST. GEORGE'S SOCIETY","DINNER","SOC","DELMONICOS NEW YORK NY","BOOKLET; ILLUS; COL; 5.5X7.2;","COMPLIMENTARYTESTIMONIAL","FRENCH; ELABORATELY & BEAUTIFULLY ILLUSTRATED (FLAGS, SEALS, FLOWERS, GAME BIRDS); SILK RIBBON ATTACHMENTS","1894-118","1894-12-11","ST GEORGES SOCIETY","","","COMPLETE",4,18
24849,"","KING OF SIAM","DINNER","SOC","TAPLOW COURT LONDON ENGLAND","CARD; COLOR; 3.75 X 5.75;","OTHER SOC","NOTE BY FNB STATES THAT DINNER WAS HELD AT TAPLOW COURT WHICH WAS RENTED FROM WM. GRENFELL AND THAT TAPLOW IS ON THE THAMES 15 MILES ABOVE LONDON; PRINTED IN RED WITH GOLD CREST; FRENCH;","1897-248","1897-08-15","KING OF SIAM","","","COMPLETE",2,11
24851,"","NORDDEUTSCHER LLOYD BREMEN","DINNER","COMMERCIAL","STEAMSHIP KAISER WILHELM DER GROSSE","FOLDER;ILL;COL;5X7.5;","DAILY","SEPARATE ENGLISH AND GERMAN;MUSICAL PROGRAM;","1899-720","1899-11-16","NORDDEUTSCHER LLOYD BREMEN","","","COMPLETE",4,30
24852,"","ST. CHARLES HOTEL","LUNCHEON","COMMERCIAL","MILWAUKEE WI","CARD; COL; 3.75X7;","","TABLE D'HOTE MENU;","1901-087","1901-01-13","ST CHARLES HOTEL","","","COMPLETE",2,30
24853,"","BOOTH DRAMATIC SOCIETY","CLOSING RECEPTION","PROF","THE ARGYLE ","BROADSIDE;ILLUS; COL; 4.25 X 7;","CLOSING RECEPTION FOR 189899 SEASON","","1899-417","1899-05-09","BOOTH DRAMATIC SOCIETY","","","COMPLETE",2,15
24854,"","BENCH AND BAR","DINNER","GOVT","SAVOY NEW YORK NY","BOOKLET; ILLUS; COL; 6.25X9;","COMPLIMENTARYTESTIMONIAL","MENU IN FRENCH; LISTS WINES SERVED WITH INDIVIDUAL COURSES; GUESTS OF HONOR LISTED; TOASTS; SONGS; COVER INCLUDES PHOTOGRAPH OF MR. TOWNSEND AND SKETCHES RELATING TO LAW AND COURT; RIBBON ATTACHMENT;","1906-093","1906-01-26","BENCH AND BAR","","","COMPLETE",12,21
24858,"","ROYAL PALM HOTEL","DINNER","COMMERCIAL","MIAMI BISCAYNE BAYFL","BROADSIDE;ILL;COL;4X7.5;","DAILY","HOTEL EMBLEM;LIST OF FISH TO CATCH ON BACK;","1901-778","1901-03-28","ROYAL PALM HOTEL","","","COMPLETE",2,42
24859,"","CHAMBER OF COMMERCE OF THE STATE OF NEW YORK","ANNUAL MEETING","GOVT","DELMONICOS NY","CARD; 4.5X7;","ANNIVERSARY","CHAMPAGNE LISTED;","1905-359","1905-05-04","CHAMBER OF COMMERCE OF THE STATE OF NEW YORK","","","COMPLETE",2,18
24861,"","RED STAR LINE","LUNCH","COMMERCIAL","SS WESTERNLAND","BROADSIDE; 5.25X8.0; ILLUS; COL;","","ILLUS, GARLAND WITH FOOD AND FOOD-RELATED ITEMS;","1900-994","1900-02-12","RED STAR LINE","","","COMPLETE",2,21
24864,"","HAMBURG-AMERIKA LINIE","MITTAGESSEN","NAV","AN BORD DER AMERIKA","CARD; ILLUS; COL; 5,25X8.75;","","TABLE D'HOTE MENU IN GERMAN AND ENGLISH; ONE IN A SERIES OF MENUS OF SEVERAL DIFFERENT PASSENGER CLASSES FOR THIS SHIP; ILLUSTRATION OF HORIZON AT SEA;","1906-615","1906-07-23","HAMBURG AMERIKA LINIE","","","COMPLETE",2,16
24865,"","NEW YORK MEDICAL UNION","MENU","PROF","HOTEL MANHATTAN NEW YORK NY","BROADSIDE; 4X6;","","","1897-043","1897-02-09","NEW YORK MEDICAL UNION","","","COMPLETE",2,21
24866,"","CONGRESS HOTEL COMPANY","TABLE DHOTE DINNER","COMMERCIAL","CHICAGO IL","CARD; ILLUS; COL; 4X7;","","TABLE D'HOTE DINNEER - $1.25; ILLUSTRATION OF HOTEL AT TOP OF MENU;","1907-631","1907-06-25","CONGRESS HOTEL COMPANY","DOLLARS","$","COMPLETE",2,22
24869,"","NEW YORK SOUTHERN SOCIETY","DINNER","SOC","HOTEL SAVOYNY","BOOKLET;ILL;COL;6.5X9.5;","ANNIVERSARY13TH ANNUAL","MENU IN FRENCH;NAMES LISTED;TOASTS;SONGS;2 PORTRAIT PHOTOGRAPHS;","1899-200","1899-02-22","NEW YORK SOUTHERN SOCIETY","","","COMPLETE",16,19
24870,"","U.S.M.S. NEW YORK","BREAKFAST","COMMERCIAL","USMS NEW YORK","CARD; 4.0X6.25; ILLUS;","","ILLUS, FLAG WITH EAGLE;","1900-751","1900-02-05","USMS NEW YORK","","","COMPLETE",2,27
24871,"","DENNETT'S","BREAKFAST","COMMERCIAL","PARK ROW NYC","CARD; 5 X 9;","","NOTE STATES THAT WATER IS FILTERED AND GUARANTEED PURE;","1895-120","1895-01-01","DENNETTS","DOLLARS","$","COMPLETE",2,74
24872,"","SIEGEL COOPER CO.","LUNCHEON","COM","6TH AVEI819 STNY","BROADSHEET; COL; 7 X 11;","","ALL PRICES INCLUDED; DESCRIPTION OF VARIOUS DEPARTMENTS ON BACK OF MENU;","1901-748","1901-03-25","SIEGEL COOPER CO","DOLLARS","$","COMPLETE",2,97
24874,"","MEMBERS OF THE BAR OF DAUPHIN COUNTY PENNSYLVANIA","DINNER","PROF","HARRISBURG CLUB","BOOKLET;ILLUS;COL;5.5X8;","COMPLIMENTARYTESTIMONIAL","LEATHER COVER WITH MOIRE LINING;PHOTOGRAPH OF JOHN MCPHERSON;WINES SERVED;TOASTS;NAMES LISTED;","1899-279","1899-03-30","MEMBERS OF THE BAR OF DAUPHIN COUNTY PENNSYLVANIA","","","COMPLETE",20,28
24875,"","NORDDEUTSCHER LLOYD BREMEN","FRUHSTUCK","COMMERCIAL","SCHNELLDAMPFER HOHENZOLLERN","CARD; ILLUS; COL; 5.25X8;","","GERMAN & ENGLISH; ILLUSTRATION OF STEAMSHIP SURROUNDED BY SMALLER BOATS AT SEA;","1901-934","1901-04-16","NORDDEUTSCHER LLOYD BREMEN","","","COMPLETE",2,80
24876,"","CHILDS' LUNCH ROOMS","BILL OF FARE","COMMERCIAL","NY CITY","BROADSHEET; ILLUS; COL; 6 X 10;","DAILY","","1900-700","1900-02-02","CHILDS LUNCH ROOMS","DOLLARS","$","COMPLETE",2,101
24877,"","DRY-GOODS FRIENDS OF MR.WILLIAM F. KING","DINNER","COM","MERCHANTS CLUB","FOLDER; ILL; 5.5X8","COMPLIMENTARYTESTIMONIAL","ILLUSTRATION ON FRONT COVER INCLUDES PORTRAIT POSSIBLY OF WILLIAM F. KING; MR. G.C.CLARKE IN RAISED ELABORATE LETTERS ON BOTTOM LEFT OF FRONT COVER; FRENCH MENU WITH SOME ITEMS BADLY SPELLED","1891-049","1891-05-06","DRY GOODS FRIENDS OF MRWILLIAM F KING","","","COMPLETE",4,28
24878,"","OLD GUARD ALBANY ZOUAVE CADETS","EIGHTH ANNUAL BANQUET","SOC MIL","FORT ORANGE CLUB","BOOKLET; ILL; 5.5X6.5","OTHER","FRENCH MENU; FASTENED AT LEFT BY TWISTED CORD; TWO COPIES IDENTICAL EXCEPT FOR ILLUSTRATION ON FRONT COVER","1891-125","1891-12-03","ALBANY ZOUAVE CADETS OLD GUARD","","","COMPLETE",8,29
24879,"","OTTER SWIMMING CLUB","MENU","SOC","THE GRAND HOTEL BRIGHTON ENGLAND","BROADSIDE; 3.25X5;","","SCALLOPPED EDGE","1895-143","1895-08-15","OTTER SWIMMING CLUB","","","COMPLETE",2,10
24880,"","ALCAZAR HOTEL","DINNER","COMMERCIAL","ST AUGUSTINE FL","CARD; ILLUS; COL; 4.75X9;","","HOTEL SEAL AT TOP OF MENU;","1901-656","1901-03-14","HOTEL ALCAZAR","","","COMPLETE",2,48
24882,"","HAMBURG-AMERIKA LINIE","FRUHSTUCKLUNCH","COMMERCIAL","AN BORD DER AMERIKA","CARD; ILLUS; COL; 5.5 X 8.75;","","TABLE D'HOTE MENU IN GERMAN AND ENGLISH; ONE IN A SERIES OF MENUS OF SEVERAL DIFFERENT PASSENGER CLASSES FOR THIS SHIP;SEVERAL ILLUSTRATIONS OF SHIPS AND HAMBURG- AMERIKA LOGO;","1906-639","1906-07-26","HAMBURG AMERIKA LINIE","","","COMPLETE",2,28
24883,"","SQUANTUM ASSOCIATION","GEORGE WASHINGTONS BIRTHDAY","SOC","SQUANTUM RI","FOLDER; ILLUS; 3.75X4.5;","PAT","SEAL ON COVER;","1901-461","1901-02-22","SQUANTUM ASSOCIATION","","","COMPLETE",4,17
24884,"","HOTEL VENDOME","DAILY MENU LUNCHEON","COMMERCIAL","BOSTON MA","CARD; 4X6.25;","","","1905-713","1905-09-26","HOTEL VENDOME","","","COMPLETE",2,38
24885,"","HOTEL CHAMBERLIN","EASTER DINNER","COMMERCIAL","FORTRESS MONROE VA","CARD; 6 X 9;","RELIGIOUS HOLIDAY","SILVER LOGO;","1905-302","1905-04-23","HOTEL CHAMBERLIN","","","COMPLETE",2,57
24886,"","CHICAGO STATIONERS ASSOCIATION","ANNUAL BANQUET","PROF","GRAND PACIFIC HOTEL CHICAGO IL","BOOKLET; 6 X 6;","ANNIVERSARY","COCKTAILS; ORNAMENTAL PAPER; MUSIC;","1906-047","1906-01-13","CHICAGO STATIONERS ASSOCIATION","","","COMPLETE",16,18
24887,"","NEW YORK ASSOCIATION ALUMNI UNIVERSITY OF VIRGINIA","ANNUAL BANQUET","EDUC","WALDORFASTORIATHENEW YORKNY","CARD;ILL;4.25X6.25;","ANNIVERSARY","FRENCH MENU;WINE LIST;","1901-914","1901-04-03","NEW YORK ASSOCIATION ALUMNI UNIVERSITY OF VIRGINIA","","","COMPLETE",2,40
24888,"","VICTOR BARACCA REST;","COMPLETE MENU","COMMERCIAL","NYC","FOLDER; 6X9.5;","DAILY","ALL ITEMS PRICED; MOSTLY HANDWRITTEN; COMPLETE WINE LIST ON BACK;","1906-136","1906-02-07","VICTOR BARACCA REST","DOLLARS","$","COMPLETE",4,327
24889,"","TAMPA BAY HOTEL","DINNER","COMMERCIAL","TAMPA FL","FOLDER; ILLUS; COL; 4.5X7.25;","","HOTEL SEAL ON COVER;","1901-438","1901-02-21","TAMPA BAY HOTEL","","","COMPLETE",4,51
24890,"","SIEGEL COOPER CO.","LUNCHEON AFTERNOON TEA","COMMERCIAL","SIXTH AVENUE NEW YORK","FOLDER; COL; 7 X 10;","","PRICED MENU; BLUE STOCK; STORE DIRECTORY ON BACK COVER;","1906-753","1906-10-12","SIEGEL COOPER CO","DOLLARS","$","COMPLETE",4,222
24891,"","CIE GLE TRANSATLANTIQUE","DINNER","COMMERCIAL","ON BOARD LA PROVENCE","CARD; ILLUS; COL; 8X6;","","MENU IN FRENCH AND ENGLISH; ILLUSTRATION OF CATHEDRALE DE CHARTRES AND STEAMSHIP ON COVERS;","1907-509","1907-05-16","CIE GLE TRANSATLANTIQUE","","","COMPLETE",3,39
24892,"","FRIENDS OF HON.JOHN P. WINDOLPH","BANQUET","POL","ARENANEW YORKNY","FOLDER;ILL;COL;4.5X6.5;","COMPLIMENTARYTESTIMONIAL","WINES SERVED;TOASTS LISTED;","1897-099","1897-03-26","FRIENDS OF HONJOHN P WINDOLPH","","","COMPLETE",4,20
24896,"","MRS. G.H. GUNDRY","DINNER","SOC","WALDROFASTOIA NEW YORK","FOLDR; ILLUS; COL; 4.5 X 7.25;","COMPLIMENTARYTESTIMONIAL","CHAMPAGNE; MENU IN FRENCH; ILLUSTRATION OF MEDIEVAL MUSICIANS;","1907-900","1907-10-18","MRS GH GUNDRY","","","COMPLETE",4,23
24897,"","N.Y.&P.R.S.S.CO. - U.S.M.S. COAMO","DINNER","COMMERCIAL","EN ROUTE","BROADSIDE; FLAG EMBLEM; 4.5X6.5;","DAILY","","1905-568","1905-07-13","NYPRSSCO USMS COAMO","","","COMPLETE",2,32
24899,"","NORDDEUTSCHER LLOYD BREMEN","LUNCH","COMMERCIAL","SS BARBAROSSA","CARD;ILL;COL;5.5X8.25;","DAILY","SHIPS AT SEA;MENUS SEPARATE IN GERMAN AND ENGLISH;MAY BE USED AS POSTCARD;","1901-917","1901-04-14","NORDDEUTSCHER LLOYD BREMEN","","","COMPLETE",2,71
24901,"","VETERANS OF THE 7TH REGIMENT","CELEBRATION","MIL","DELMONICOS NEW YORKNY","BOOKLET; ILL; 5X8;","ANNIVERSARY","MARKER OF SITE OF ORGANIZATION OF THE 7TH REGIMENT REPRODUCED; MENU IN FRENCH; OUTER COVERS OF PARCHMNENT LIKE PAPER; FASTENED AT LEFT BY RED WHITE AND BLUE CORDS;","1893-051","1893-04-19","VETERANS OF THE 7TH REGIMENT","","","COMPLETE",8,20
24903,"","(HENRY IRVING ?)","BREAKFAST","OTHER PRIVATE HOST","DELMONICO NY","CARD;3.25X5.5","OTHERPRIOR TO DEPARTURE FOR ENGLAND","HANDWRITTEN NOTE OF DATE,OCCASION,SPONSOR;SLIGHTLY RAISED FLOWER AND STEM IN LEFT CORNER;MENU IN FRENCH","1884-007","1884-04-29","HENRY IRVING ","","","COMPLETE",2,29
24904,"","PROFESSOR CESARE VIVANTE","DINNER","SOC","ALBERGO MODERNO ROME ITALY","CARD; ILLUS; COL; 4.75X6.5;","COMPLIMENTARYTESTIMONIAL","WINES LISTED; MENU IN ITALIAN;","1908-111","1908-02-02","PROFESSOR CESARE VIVANTE","","","COMPLETE",2,14
24905,"","ALCAZAR HOTEL","DINNER","COMMERCIAL","ST AUGUSTINE FL","CARD; ILLUS; COL; 4.75X9;","","HOTEL SEAL AT TOP OF MENU;","1901-535","1901-03-02","HOTEL ALCAZAR","","","COMPLETE",2,47
24906,"","MISS CHARLIE SMITH","DINNER","OTHER PRIVATE HOST","GARCIAS PLACE THE GRAND ORIENT YBOR CITY FL","FOLDER; ILLUS; COL; 3.75X5.6;","OTHER PRIVATE DINNER PARTY","MENU IN PORTUGUESE; INCLUDES WINE LIST; COVER IS MADE UP OF CUT-OUT FLOWERS; RIBBON ATTACHMENT;","1907-358","1907-04-08","MISS CHARLIE SMITH","","","COMPLETE",8,21
24907,"","GRAND HOTEL KAISERHOF","INDEPENDENCE DAY DINNER","COMMERCIAL","BADNAUHEIM GERMANY","FOLDER; ILLUS; COL; 7.6X10","PAT","MENU IN FRENCH; SEVERAL COURSES FOLLOWED BY AMERICAN DESCRIPTIONS; INCLUDES MUSIK PROGRAMM; AMERICAN REVOLUTION MOTIF ON COVER;","1907-651","1907-07-04","GRAND HOTEL KAISERHOF","","","COMPLETE",4,13
24908,"","MUNICIPAL GRANT MONUMENT COMMITTEE","LUNCH","PATR","HOTEL CLAREMONT","CARD;4X7;","ANNIVERSARY","ANNIVERSARY OF GRANT'S BIRTHDAY;WINES SERVED;","1897-138","1897-04-27","MUNICIPAL GRANT MONUMENT COMMITTEE","","","COMPLETE",2,24
24910,"","THOMAS DIMOND","DINNER","SOC","COLONIAL CLUB","FOLDER; ILLUS; COL; 4.5 X 6.25;","COMPLIMENTARYTESTIMONIAL","GUEST'S NAME (GEORGE C. CLARKE) PAINTED IN GOLD ON COVER; WINES;","1893-028","1893-02-25","THOMAS DIMOND","","","COMPLETE",4,25
24911,"","ROYAL PALM HOTEL","DINNER","COMMERCIAL","MIAMI BISCAYNE BAY FL","CARD; 4.5 X 7.75;","","LOGO; SWIMMING POOL; ENTERTAINMENTBY MAGICIAN;","1901-581","1901-03-06","ROYAL PALM HOTEL","","","COMPLETE",2,46
24912,"","RED STAR LINE - S.S.FRIESLAND","DINNER","COMMERCIAL","ENROUTE","BROADSHEET; ILLUS; 5 X 8;","","MENU HANDWRITTEN; COMPLETE WINE LIST WITH PRICES ON BACK;","1900-101","1900-01-10","RED STAR LINE SS FRIESLAND","BELGIAN FRANCS","BEF","COMPLETE",2,51
24913,"","ROYAL POINCIANA","LUNCHEON","COMMERCIAL","PALM BEACH FL","CARD; ILLUS; COL; 4X7.25;","","HOTEL SEAL AT TOP OF MENU;","1901-667","1901-03-15","ROYAL POINCIANA","","","COMPLETE",2,68
24914,"","NEW YORK SOUTHERN SOCIETY","ANNUAL DINNER","SOC","SAVOY HOTEL NEW YORK NY","BOOKLET; ILLUS; COL; 7X5.5;","PAT","FRENCH; TOASTS; COMMITTE AND OFFICERS LISTED; SONGSHEET; SKETCHES ABOVE MENU & TOASTS; SILK CORD ATTACHEMENT;","1901-449","1901-02-22","NEW YORK SOUTHERN SOCIETY","","","COMPLETE",18,16
24915,"","HIGH COMMISSIONERS OF HER BRITANNIC MAJESTY","DINNER","GOVT","SHOREHAM THE WASHINGINTON DC","BOOKLET; ILLUS; COL; 5X7.5;","","INCLUDES WINE LIST; INCLUDES NAMES OF HIGH COMMISSIONERS; BRITISH FLAG ON FRONT COVER, AMERICAN FLAG ON BACK COVER; SILK RIBBON ATTACHMENT;","1898-409","1898-12-19","HIGH COMMISSIONERS OF HER BRITANNIC MAJESTY","","","COMPLETE",12,19
24916,"","THE TRIBUNE STAFF","ANNUAL DINNER","COM","CHICAGO ILL","FOLDER;ILL; 4.75X7","SECULAR HOLIDAY","SYLVESTER NIGHT L890 PRINTED; ILLUSTRATION ON INSIDE BACK COVER INCLUDED TEXT HAIL 1891 AND SYLVESTER NIGHT; HANDWRITTEN ON FRONT COVER JAN 1, 1891","1891-002","1891-01-01","THE TRIBUNE STAFF","","","COMPLETE",4,14
24917,"","CAFETERIA LUNCH","MENU","COMMERCIAL","57 BROAD STREET NEW YORK NY","FOLDER; ILLUS; 6X9.5;","OTHER DAILY MENU","SPECIALS WRITTEN IN FADED LAVENDAR INK; MOOSE ILLUSTRATION ON BACK COVER;","1900-550","1900-01-27","CAFETERIA LUNCH","DOLLARS","$","COMPLETE",4,97
24918,"","LOGAN HOUSE","NEW YEARS DAY DINNER","COMMERCIAL","ALTOONA PA","CARD; ILLUS; COL; 6X7;75;","SECULAR HOLIDAY","WINTER SCENE SKETCH AT TOP;","1901-0009","1901-01-01","LOGAN HOUSE","","","COMPLETE",2,39
24919,"","STAGSHAW HOUSE","DAILY MENU","COMMERCIAL","CORBRIDGE ENGLAND","CARD; ILLUS; COL; 3.75X5.75;","","MENU IN FRENCH; ""CONSOMME ON LEAVING"" NOTED ON BOTTOM;","1907-090","1907-01-16","STAGSHAW HOUSE","","","COMPLETE",2,20
24922,"","HOTEL MEN'S MUTUAL BENEFIT AASOCIATION","LUNCHEON","PROF","CHICAGO BEACH HOTEL","FOLDER; COL;  4 X 5.75;","ANNIVERSARY","BLUE; CREST; WINES; SEPARATE CARD FOR AFTER DINNER PROGRAM WITH NOTE STATING THAT THERE WILL BE TRANSPORTATION TO VAN BUREN STREET AT MIDNIGHT;","1899-438","1899-05-23","HOTEL MENS MUTUAL BENEFIT AASOCIATION","","","COMPLETE",6,14
24927,"","FRAUNCES' TAVERN","BANQUET TO REPRESENTATIVES OF THE PRESS OF NEW YORK CITY","COMMERCIAL","FRAUNCESTAVERN NEW YORK","FOLDER; ILLUS; COL; 5.5 X 7.25;","COMPLIMENTARYTESTIMONIAL","MARTINIS, AND WINS WITH EACH COURSE; MENU IN FRENCH; ILLUSTRATIONS OF WASHINGTON, FLAGS, AND FIFE AN DRUM CORPS;","1907-523","1907-05-18","FRAUNCES TAVERN","","","COMPLETE",4,23
24928,"","CAFE DES AMBASSADEURS","DINNER","COMMERCIAL","108110 WEST 38TH STREET NEW YORK NY","FOLDER; ILLUS; COL; 7X11;","","PRICED WINE LIST; MENU IN COMBINATION OF FRENCH AND ENGLISH;","1905-456","1905-06-11","CAFE DES AMBASSADEURS","DOLLARS","$","COMPLETE",4,419
24929,"","REPUBLICAN DISTRICT COMMITTEE OF THE 29TH ASSEMBLY DISTRICT","COMPLIMENTARY BANQUET TO HON ROBERT C MORRISPRES","POL","SAVOY HOTELNY","BOOKLET; RIBBON TRIM; PHOTO;5 X 7.5;","COMPLIMENTARYTESTIMONIAL","ALL SPEAKERS LISTED; COMMITTEE MEMBERS LISTED; SEATING LIST ON SEPARATE FOLDER INCLUDED;","1901-602","1901-03-08","REPUBLICAN DISTRICT COMMITTEE OF THE 29TH ASSEMBLY DISTRICT","","","COMPLETE",12,12
24932,"","HOTEL MAJESTIC","CARTE DU JOUR","COMMERCIAL","","BOOKLET; 4.25X7.5;","OTHER DAILY HOTEL MENU","(SPONSOR, EVENT & DATE INFO SUPPLIED BY FLB); SILK CORD ATTACHMENT;","1900-649","1900-01-31","HOTEL MAJESTIC","DOLLARS","$","COMPLETE",16,423
24934,"","HOTEL MAJESTIC","LUNCHEON","COMMERCIAL","NY","CARD;4.5X7.25;","DAILY","PRICED MENU;","1900-579","1900-01-29","HOTEL MAJESTIC","DOLLARS","$","COMPLETE",2,65
24936,"","THE CINCINNATI IN THE STATE OF NEW YORK","ANNIVERSARY","POL","PLAZA HOTEL NY","FOLDER; 4.74 X 7.25","COMMEMORATIVE","GOLD SEAL ON COVER; FRENCH; TOASTS;","1891-026","1891-02-23","THE CINCINNATI IN THE STATE OF NEW YORK","","","COMPLETE",4,24
24937,"","SOCIETY OF COLONIAL WARS","DINNER4TH ANNUAL","MIL","DELMONICOSNEW YORK NY","BOOKLET;ILLUS;5X7;","PATRIOTIC HOLIDAY164TH ANNIVERSARY OLD STYLE OF THE BIRTH OF COLONEL GEORGE WASHINGTON","WINES SERVED; TWO COPIES;","1896-031","1896-02-11","SOCIETY OF COLONIAL WARS","","","COMPLETE",6,23
24938,"","TRUSTEES OF THE MISSOUI BOTANICAL GARDEN","THIRD ANNUAL BANQUET","PROF","MERCANTILE CLUB STLOUIS MO","CARD, ILLUS; 5.5 X 9;","OTHER COMMEMORATIVE","LEAVES SURROUNDING POTRAIT OF FOUNDER?; WINES;","1892-074","1892-05-19","TRUSTEES OF THE MISSOUI BOTANICAL GARDEN","","","COMPLETE",2,28
24939,"","POLYTECHNIC LODGE & ROBERT MITCHELL LODGE","DINNER","SOC","CECIL HOTELSTRANDWC","BOOKLET;ILLUS;COL;3.75X6;","ANNUAL LADIES NIGHT","MENU IN FRENCH;LIST OF SPEAKERS & MUSIC PROGRAM;","1906-772","1906-10-20","POLYTECHNIC LODGE  ROBERT MITCHELL LODGE","","","COMPLETE",8,17
24941,"","NORDDEUTSCHER LLOYD BREMEN","LUNCH","COMMERCIAL","KONIGIN LUISE","CARD;","OTHER DAILY","3 LUNCH MENUS WITH DIFFERENT ITEMS ON SEPARATE CARDS;SEPARATE LISTING IN GERMAN AND ENGLISH;SEE 262 AND 263;ATTACHED POSTCARD WITH PERFORATIONS MEANT TO BE DETACHED;","1899-264","1899-03-17","NORDDEUTSCHER LLOYD BREMEN","","","COMPLETE",2,52
24942,"","ST. REGIS HOTEL","DINNER","COMMERCIAL","NEW YORK CITY","CARD; 5X8;","","MENU IN FRENCH AND IN ENGLISH;","1907-019","1907-01-02","HOTEL ST REGIS","DOLLARS","$","COMPLETE",2,182
24943,"","INTERNATIONAL ASSOCIATION OF MACHINISTS","BANQUET","COMMERCIAL","NATIONAL RIFLES ARMORYWASHINGTONDC","FOLDER;ILL;4.5X7.5;","COMPLIMENTARYTESTIMONIAL","TOASTS;NAMES LISTED;","1899-709","1899-11-14","INTERNATIONAL ASSOCIATION OF MACHINISTS","","","COMPLETE",4,30
24944,"","ANCIENT ACCEPTED SCOTTISH RITE","FESTIVAL REUNION","SOC","MASONIC HALL NEW YORK NY","CARD; COL; 4X6.25;","ANNIVERSARY","WINE LISTED; PL NOTED BY FEB; PRINTED ON LIGHT GREEN STOCK;","1906-485","1906-05-25","ANCIENT ACCEPTED SCOTTISH RITE","","","COMPLETE",2,18
24945,"","ASTOR HOUSE","DINNER","COMMERCIAL","NEW YORK CITY","FOLDER; ILLUS; 7 X 11;","","ILLUS. OF HOTEL; PRICED MENU AND WINE LIST;","1892-069","1892-05-08","ASTOR HOUSE","DOLLARS","$","COMPLETE",4,474
